Word	Gender	Race	Serious
attractive	all	all	no
awesome	all	all	no
bald	M	all	no
beautiful	all	all	yes
blind	all	all	no
brave	all	all	yes
brilliant	all	all	yes
certified	all	all	no
challenged	all	all	no
comatose	all	all	no
cynical	all	all	no
daft	all	all	no
dangerous	all	all	yes
deaf	all	all	no
defiant	all	all	yes
derivative	all	all	no
diabolical	all	all	yes
dimwitted	all	all	no
disabled	all	all	no
downtrodden	all	all	no
dressed	all	all	no
drunk	all	all	no
epic	all	all	yes
evil	all	all	yes
fabulous	all	all	no
fair	all	elf	yes
feckless	all	all	yes
ferm	all	all	no
fiery	all	all	yes
flatulent	all	all	no
formidable	all	all	yes
furry	all	dwarf	no
gay	all	all	no
hairy	M	all	no
handsome	M	all	yes
holy	all	all	yes
incendiary	all	all	yes
insane	all	all	yes
insecure	all	all	no
invisible	all	all	yes
little	all	dwarf	no
mediocre	all	all	no
morose	all	all	yes
mundane	all	all	no
muscular	all	all	yes
mysterious	all	all	yes
naked	all	all	no
noble	all	all	no
obtuse	all	all	no
odorous	all	all	no
overcompensating	all	all	no
plain	all	all	no
scantly-dressed	F	all	no
scruffy	all	all	no
sexy	all	all	no
stoic	all	all	yes
stubborn	all	all	yes
tall	all	elf	yes
ugly	all	all	yes
unholy	all	all	yes
vain	all	all	yes
vegetarian	all	all	no
vile	all	all	yes
well-behaved	all	all	no
well-endowed	M	all	no
well-mannered	all	all	no
wonderful	all	all	yes
zealous	all	all	yes
