Word	Gender	Race	Serious
Adr	all	elf	yes
Aeg	all	elf	yes
Aer	all	elf	yes
Aeren	all	elf	yes
Ald	all	elf	yes
Alm	all	elf	yes
Am	all	elf	yes
Anna	all	elf	yes
Ar	all	elf	yes
Ara	all	elf	yes
Ared	all	elf	yes
Arw	all	elf	yes
Call	all	elf	yes
Cir	all	elf	yes
El	all	elf	yes
Ela	all	elf	yes
Elber	all	elf	yes
Elf	all	elf	yes
Ellad	all	elf	yes
Eow	all	elf	yes
Est	all	elf	yes
Fre	all	elf	yes
Gala	all	elf	yes
Gil	all	elf	yes
Hal	all	elf	yes
Lego	all	elf	yes
Lin	all	elf	yes
Log	all	elf	yes
Lot	all	elf	yes
Lu	all	elf	yes
Ro	all	elf	yes
Theo	all	elf	yes
Thran	all	elf	yes
Azog	all	orc	yes
Bal	all	orc	yes
Bol	all	orc	yes
Gor	all	orc	yes
Gris	all	orc	yes
Lag	all	orc	yes
Lug	all	orc	yes
Mau	all	orc	yes
Muz	all	orc	yes
Oth	all	orc	yes
Sha	all	orc	yes
Sna	all	orc	yes
Ug	all	orc	yes
Drog	all	orc	yes
Bar	all	orc	yes
Glug	all	orc	yes
Trig	all	orc	yes
Crol	all	orc	yes
Dag	all	orc	yes
Bal	all	dwarf	yes
Bi	all	dwarf	yes
Bil	all	dwarf	yes
Bol	all	dwarf	yes
Bom	all	dwarf	yes
Dag	all	dwarf	yes
Dur	all	dwarf	yes
Dwal	all	dwarf	yes
Fro	all	dwarf	yes
Fun	all	dwarf	yes
Gam	all	dwarf	yes
Gim	all	dwarf	yes
Glo	all	dwarf	yes
Gro	all	dwarf	yes
I	all	dwarf	yes
Ki	all	dwarf	yes
Nar	all	dwarf	yes
No	all	dwarf	yes
O	all	dwarf	yes
Thor	all	dwarf	yes
Thra	all	dwarf	yes
Ed	all	human	yes
Gon	all	human	yes
Ber	all	human	yes
Mor	all	human	yes
Tur	all	human	yes
Tu	all	human	yes
Hu	all	human	yes
Nin	all	human	yes
Ro	all	human	yes
Ara	all	human	yes
Eow	all	human	yes
Theo	all	human	yes
Eom	all	human	yes
Den	all	human	yes
Boro	all	human	yes
Fara	all	human	yes
Eld	all	human	yes
Jan	all	human	yes
Gan	all	human	yes
Sam	all	human	yes
Id	all	human	yes
Ma	all	human	yes
Mor	all	human	yes
