Word	Gender	Race	Serious
a	F	elf	yes
ahil	all	elf	yes
alle	all	elf	yes
amir	all	elf	yes
andil	M	elf	yes
atar	M	elf	yes
dan	all	elf	yes
den	all	elf	yes
din	all	elf	yes
dir	all	elf	yes
dor	all	elf	yes
driel	F	elf	yes
duil	all	elf	yes
el	all	elf	yes
elia	F	elf	yes
en	all	elf	yes
eth	all	elf	yes
han	M	elf	yes
hel	all	elf	yes
helm	all	elf	yes
ian	all	elf	yes
in	all	elf	yes
las	all	elf	yes
nor	all	elf	yes
od	M	elf	yes
ohir	all	elf	yes
on	all	elf	yes
rand	M	elf	yes
ren	all	elf	yes
ril	all	elf	yes
thien	all	elf	yes
wine	all	elf	yes
yn	F	elf	yes
a	F	orc	yes
ba	F	orc	yes
ga	F	orc	yes
ka	F	orc	yes
dog	all	orc	yes
g	all	orc	yes
meg	all	orc	yes
bag	all	orc	yes
gol	all	orc	yes
duf	all	orc	yes
hur	all	orc	yes
gash	all	orc	yes
bolk	all	orc	yes
kum	all	orc	yes
rom	all	orc	yes
gar	all	orc	yes
mog	all	orc	yes
a	F	dwarf	yes
ar	M	dwarf	yes
ba	F	dwarf	yes
bar	M	dwarf	yes
bo	M	dwarf	yes
bur	M	dwarf	yes
fa	F	dwarf	yes
fur	M	dwarf	yes
in	all	dwarf	yes
las	F	dwarf	yes
li	all	dwarf	yes
lin	all	dwarf	yes
or	M	dwarf	yes
ora	F	dwarf	yes
ra	F	dwarf	yes
ri	all	dwarf	yes
rin	M	dwarf	yes
ris	M	dwarf	yes
va	F	dwarf	yes
vi	all	dwarf	yes
a	F	human	yes
ain	all	human	yes
anel	F	human	yes
anna	F	human	yes
anor	M	human	yes
dalf	M	human	yes
den	all	human	yes
dor	M	human	yes
elia	F	human	yes
en	all	human	yes
er	M	human	yes
eth	F	human	yes
ethor	all	human	yes
gil	all	human	yes
gorn	M	human	yes
han	M	human	yes
ia	F	human	yes
iel	F	human	yes
in	all	human	yes
ion	all	human	yes
lian	all	human	yes
mer	all	human	yes
mir	all	human	yes
or	M	human	yes
orn	M	human	yes
ril	all	human	yes
thor	M	human	yes
wen	F	human	yes
yn	F	human	yes
