Word	Gender	Race	Serious
acquaintance	all	all	no
angel	all	all	yes
animal	all	all	yes
aunt	F	all	no
barmaid	F	all	no
bartender	M	all	no
butcher	all	all	yes
arse	all	all	no
captain	all	all	no
conductor	all	all	no
creature	all	all	yes
daughter	F	all	yes
demon	all	all	yes
dentist	all	all	no
destroyer	all	all	yes
earl	M	all	no
enchantress	all	all	yes
farmer	all	all	no
father	M	all	yes
foot	all	all	no
friend	all	all	no
fry chef	all	all	no
fury	all	all	yes
general	all	all	yes
god	all	all	yes
godess	all	all	yes
grandfather	M	all	no
grandmother	F	all	no
gynaecologist	all	all	no
hand	all	all	yes
harbinger	all	all	yes
hero	all	all	yes
husband	M	all	yes
janitor	all	all	no
judge	all	all	yes
king	M	all	yes
lady	F	all	yes
leader	all	all	yes
leftovers	all	all	no
lord	M	all	yes
master	M	all	yes
minion	all	all	no
mistress	F	all	yes
mother	F	all	yes
oddball	all	all	no
prick	all	all	no
prince	all	all	yes
princess	all	all	yes
psychiatrist	all	all	no
queen	F	all	yes
saviour	all	all	yes
scientist	all	all	no
slayer	all	all	yes
soldier	all	all	yes
son	M	all	yes
sword	all	all	yes
temptress	F	all	yes
toaster	all	all	no
uncle	M	all	no
warrior	all	all	yes
weapon	all	all	yes
wife	F	all	yes
wizard	all	all	yes
