Word	Gender	Race	Serious
air	all	all	yes
baby	all	all	no
bone	all	all	yes
cat	all	all	no
chain	all	all	yes
chicken	all	all	no
cloud	all	all	yes
dark	all	all	yes
day	all	all	yes
death	all	all	yes
dog	all	all	no
dragon	all	all	yes
dream	all	all	yes
earth	all	all	yes
face	all	all	no
faith	all	all	yes
fear	all	all	yes
fire	all	all	yes
flame	all	all	yes
flower	all	all	no
glass	all	all	yes
grace	all	all	yes
grass	all	all	no
grave	all	all	yes
hate	all	all	yes
ice	all	all	yes
joy	all	all	no
life	all	all	yes
light	all	all	yes
love	all	all	yes
metal	all	all	yes
moon	all	all	yes
night	all	all	yes
peace	all	all	yes
power	all	all	yes
rain	all	all	yes
shit	all	all	no
sin	all	all	yes
skull	all	all	yes
sky	all	all	yes
soul	all	all	yes
space	all	all	yes
spirit	all	all	yes
star	all	all	yes
steel	all	all	yes
storm	all	all	yes
street	all	all	yes
sun	all	all	yes
sword	all	all	yes
time	all	all	yes
truth	all	all	yes
war	all	all	yes
wood	all	all	yes
