Word	Gender	Race	Serious
bender	all	all	no
breaker	all	all	yes
breather	all	all	no
bringer	F	all	yes
catcher	all	all	yes
chaser	all	all	yes
craver	all	all	no
crusher	all	all	yes
dancer	all	all	yes
dreamer	all	all	yes
fighter	all	all	yes
flayer	all	all	yes
gazer	all	all	yes
giver	all	all	yes
hater	all	all	yes
headed	all	all	no
keeper	all	all	yes
killer	all	all	yes
leader	all	all	yes
licker	all	all	no
seeker	all	all	yes
singer	all	all	yes
sitter	all	all	no
slayer	all	all	yes
smoker	all	all	no
stalker	all	all	no
starter	all	all	no
stealer	all	all	yes
sucker	all	all	no
trader	all	all	yes
walker	M	all	yes
watcher	all	all	yes
wrestler	all	all	no
